date,home,score,away
22/01/2015 , Mogadishu City Club , 1 : 1 , Elman FC 
23/01/2015 , Jeenyo  FC , 5 : 0 , SomaliFruit FC 
26/01/2015 , Horseed S.C , 2 : 1 , Sahafi FC 
27/01/2015 , Gaadiidka FC , 3 : 0 , Batroolka FC 
29/01/2015 , Dekedda SC , 0 : 2 , Mogadishu City Club 
30/01/2015 , SomaliFruit FC , 1 : 8 , Heegan S.C 
02/02/2015 , Elman FC , 1 : 1 , Jeenyo  FC 
05/02/2015 , Batroolka FC , 2 : 2 , Horseed S.C 
06/02/2015 , Sahafi FC , 0 : 0 , Mogadishu City Club 
19/02/2015 , Dekedda SC , 0 : 1 , Jeenyo  FC 
20/02/2015 , Elman FC , 1 : 0 , Heegan S.C 
22/02/2015 , Horseed S.C , 0 : 2 , Mogadishu City Club 
23/02/2015 , Batroolka FC , 1 : 2 , SomaliFruit FC 
24/02/2015 , Sahafi FC , 0 : 0 , Jeenyo  FC 
26/02/2015 , Gaadiidka FC , 0 : 0 , Elman FC 
27/02/2015 , Dekedda SC , 0 : 2 , Heegan S.C 
01/03/2015 , SomaliFruit FC , 2 : 0 , Horseed S.C 
03/03/2015 , Batroolka FC , 1 : 3 , Elman FC 
04/03/2015 , Mogadishu City Club , 0 : 3 , Jeenyo  FC 
05/03/2015 , Sahafi FC , 3 : 3 , Heegan S.C 
06/03/2015 , Gaadiidka FC , 0 : 1 , Dekedda SC 
08/03/2015 , Horseed S.C , 0 : 1 , Jeenyo  FC 
09/03/2015 , SomaliFruit FC , 0 : 2 , Elman FC 
10/03/2015 , Mogadishu City Club , 0 : 0 , Heegan S.C 
12/03/2015 , Batroolka FC , 0 : 4 , Dekedda SC 
13/03/2015 , Sahafi FC , 0 : 1 , Gaadiidka FC 
19/03/2015 , Elman FC , 3 : 0 , Horseed S.C 
20/03/2015 , Heegan S.C , 2 : 0 , Jeenyo  FC 
22/03/2015 , Dekedda SC , 0 : 1 , SomaliFruit FC 
23/03/2015 , Gaadiidka FC , 2 : 1 , Mogadishu City Club 
24/03/2015 , Sahafi FC , 7 : 0 , Batroolka FC 
26/03/2015 , Horseed S.C , 1 : 0 , Heegan S.C 
27/03/2015 , Dekedda SC , 2 : 0 , Elman FC 
29/03/2015 , Gaadiidka FC , 4 : 2 , Jeenyo  FC 
30/03/2015 , SomaliFruit FC , 1 : 4 , Sahafi FC 
02/04/2015 , Dekedda SC , 4 : 0 , Horseed S.C 
03/04/2015 , Gaadiidka FC , 0 : 1 , Heegan S.C 
05/04/2015 , Sahafi FC , 1 : 3 , Elman FC 
07/04/2015 , Mogadishu City Club , 2 : 0 , SomaliFruit FC 
08/04/2015 , Batroolka FC , 1 : 8 , Jeenyo  FC 
09/04/2015 , Horseed S.C , 1 : 3 , Gaadiidka FC 
10/04/2015 , Sahafi FC , 1 : 3 , Dekedda SC 
12/04/2015 , Heegan S.C , 4 : 1 , Batroolka FC 
13/04/2015 , Elman FC , 0 : 0 , Mogadishu City Club 
14/04/2015 , SomaliFruit FC , 1 : 1 , Jeenyo  FC 
16/04/2015 , Sahafi FC , 0 : 0 , Horseed S.C 
17/04/2015 , Batroolka FC , 0 : 0 , Gaadiidka FC 
30/04/2015 , Batroolka FC , 1 : 5 , Mogadishu City Club 
13/05/2015 , Mogadishu City Club , 0 : 1 , Dekedda SC 
14/05/2015 , Heegan S.C , 3 : 0 , SomaliFruit FC 
15/05/2015 , Jeenyo  FC , 0 : 0 , Elman FC 
17/05/2015 , Horseed S.C , 3 : 1 , Batroolka FC 
18/05/2015 , Mogadishu City Club , 3 : 0 , Sahafi FC 
19/05/2015 , SomaliFruit FC , 1 : 0 , Gaadiidka FC 
21/05/2015 , Jeenyo  FC , 3 : 0 , Dekedda SC 
22/05/2015 , Heegan S.C , 1 : 1 , Elman FC 
24/05/2015 , Mogadishu City Club , 5 : 0 , Horseed S.C 
25/05/2015 , SomaliFruit FC , 1 : 2 , Batroolka FC 
26/05/2015 , Jeenyo  FC , 2 : 1 , Sahafi FC 
28/05/2015 , Elman FC , 0 : 2 , Gaadiidka FC 
29/05/2015 , Heegan S.C , 2 : 0 , Dekedda SC 
31/05/2015 , Horseed S.C , 2 : 0 , SomaliFruit FC 
01/06/2015 , Jeenyo  FC , 1 : 2 , Mogadishu City Club 
02/06/2015 , Elman FC , 4 : 2 , Batroolka FC 
04/06/2015 , Heegan S.C , 0 : 1 , Sahafi FC 
05/06/2015 , Dekedda SC , 2 : 0 , Gaadiidka FC 
07/06/2015 , Jeenyo  FC , 2 : 1 , Horseed S.C 
08/06/2015 , Elman FC , 2 : 2 , SomaliFruit FC 
09/06/2015 , Heegan S.C , 0 : 2 , Mogadishu City Club 
11/06/2015 , Dekedda SC , 5 : 1 , Batroolka FC 
12/06/2015 , Gaadiidka FC , 2 : 1 , Sahafi FC 
09/03/2018 , Elman FC , 3 : 0 , Gaadiidka FC 
28/12/2015 , Dekedda SC , 1 : 0 , Heegan S.C 
29/12/2015 , Mogadishu City Club , 1 : 0 , Waxool FC 
30/12/2015 , Jeenyo  FC , 1 : 1 , Horseed S.C 
31/12/2015 , Gaadiidka FC , 1 : 1 , Sahafi FC 
01/01/2016 , Elman FC , 1 : 1 , Badbaado FC 
04/01/2016 , Waxool FC , 0 : 0 , Dekedda SC 
05/01/2016 , Heegan S.C , 2 : 2 , Horseed S.C 
06/01/2016 , Mogadishu City Club , 1 : 0 , Sahafi FC 
07/01/2016 , Jeenyo  FC , 4 : 1 , Badbaado FC 
08/01/2016 , Gaadiidka FC , 0 : 1 , Elman FC 
11/01/2016 , Dekedda SC , 2 : 0 , Horseed S.C 
12/01/2016 , Waxool FC , 2 : 1 , Sahafi FC 
13/01/2016 , Heegan S.C , 1 : 0 , Badbaado FC 
14/01/2016 , Mogadishu City Club , 2 : 1 , Elman FC 
15/01/2016 , Jeenyo  FC , 1 : 1 , Gaadiidka FC 
18/01/2016 , Sahafi FC , 1 : 4 , Dekedda SC 
19/01/2016 , Horseed S.C , 2 : 0 , Badbaado FC 
20/01/2016 , Waxool FC , 0 : 4 , Elman FC 
21/01/2016 , Heegan S.C , 0 : 1 , Gaadiidka FC 
22/01/2016 , Mogadishu City Club , 2 : 0 , Jeenyo  FC 
25/01/2016 , Dekedda SC , 2 : 2 , Badbaado FC 
26/01/2016 , Sahafi FC , 2 : 0 , Elman FC 
27/01/2016 , Horseed S.C , 0 : 2 , Gaadiidka FC 
28/01/2016 , Waxool FC , 1 : 2 , Jeenyo  FC 
29/01/2016 , Heegan S.C , 0 : 0 , Mogadishu City Club 
01/02/2016 , Elman FC , 0 : 1 , Dekedda SC 
02/02/2016 , Badbaado FC , 0 : 2 , Gaadiidka FC 
03/02/2016 , Sahafi FC , 1 : 3 , Jeenyo  FC 
04/02/2016 , Horseed S.C , 0 : 0 , Mogadishu City Club 
05/02/2016 , Waxool FC , 0 : 2 , Heegan S.C 
08/02/2016 , Dekedda SC , 1 : 1 , Gaadiidka FC 
09/02/2016 , Elman FC , 1 : 1 , Jeenyo  FC 
10/02/2016 , Badbaado FC , 0 : 6 , Mogadishu City Club 
11/02/2016 , Sahafi FC , 0 : 2 , Heegan S.C 
12/02/2016 , Horseed S.C , 3 : 1 , Waxool FC 
15/02/2016 , Jeenyo  FC , 3 : 1 , Dekedda SC 
16/02/2016 , Gaadiidka FC , 0 : 2 , Mogadishu City Club 
17/02/2016 , Elman FC , 1 : 1 , Heegan S.C 
18/02/2016 , Badbaado FC , 1 : 4 , Waxool FC 
19/02/2016 , Sahafi FC , 2 : 3 , Horseed S.C 
22/02/2016 , Dekedda SC , 1 : 1 , Mogadishu City Club 
23/02/2016 , Jeenyo  FC , 2 : 2 , Heegan S.C 
24/02/2016 , Gaadiidka FC , 2 : 1 , Waxool FC 
25/02/2016 , Elman FC , 0 : 3 , Horseed S.C 
26/02/2016 , Badbaado FC , 2 : 3 , Sahafi FC 
03/03/2016 , Heegan S.C , 3 : 0 , Dekedda SC 
04/03/2016 , Waxool FC , 1 : 2 , Mogadishu City Club 
07/03/2016 , Horseed S.C , 1 : 3 , Jeenyo  FC 
08/03/2016 , Sahafi FC , 1 : 1 , Gaadiidka FC 
09/03/2016 , Badbaado FC , 1 : 2 , Elman FC 
10/03/2016 , Dekedda SC , 2 : 1 , Waxool FC 
11/03/2016 , Horseed S.C , 1 : 2 , Heegan S.C 
14/03/2016 , Sahafi FC , 0 : 6 , Mogadishu City Club 
15/03/2016 , Badbaado FC , 0 : 7 , Jeenyo  FC 
16/03/2016 , Elman FC , 0 : 1 , Gaadiidka FC 
17/03/2016 , Horseed S.C , 2 : 2 , Dekedda SC 
18/03/2016 , Sahafi FC , 1 : 1 , Waxool FC 
21/03/2016 , Badbaado FC , 1 : 8 , Heegan S.C 
22/03/2016 , Elman FC , 1 : 1 , Mogadishu City Club 
23/03/2016 , Gaadiidka FC , 1 : 2 , Jeenyo  FC 
24/03/2016 , Dekedda SC , 4 : 1 , Sahafi FC 
25/03/2016 , Badbaado FC , 2 : 3 , Horseed S.C 
28/03/2016 , Elman FC , 3 : 0 , Waxool FC 
29/03/2016 , Gaadiidka FC , 0 : 0 , Heegan S.C 
08/04/2016 , Jeenyo  FC , 2 : 3 , Mogadishu City Club 
11/04/2016 , Badbaado FC , 0 : 2 , Dekedda SC 
12/04/2016 , Elman FC , 2 : 1 , Sahafi FC 
13/04/2016 , Gaadiidka FC , 0 : 0 , Horseed S.C 
14/04/2016 , Jeenyo  FC , 4 : 1 , Waxool FC 
15/04/2016 , Mogadishu City Club , 1 : 1 , Heegan S.C 
26/04/2016 , Dekedda SC , 3 : 0 , Elman FC 
27/04/2016 , Gaadiidka FC , 2 : 0 , Badbaado FC 
28/04/2016 , Jeenyo  FC , 1 : 0 , Sahafi FC 
29/04/2016 , Mogadishu City Club , 2 : 0 , Horseed S.C 
30/04/2016 , Heegan S.C , 4 : 1 , Waxool FC 
01/05/2016 , Gaadiidka FC , 0 : 1 , Dekedda SC 
02/05/2016 , Jeenyo  FC , 0 : 0 , Elman FC 
03/05/2016 , Mogadishu City Club , 4 : 0 , Badbaado FC 
04/05/2016 , Heegan S.C , 2 : 2 , Sahafi FC 
05/05/2016 , Waxool FC , 2 : 1 , Horseed S.C 
06/05/2016 , Dekedda SC , 1 : 0 , Jeenyo  FC 
07/05/2016 , Mogadishu City Club , 2 : 1 , Gaadiidka FC 
08/05/2016 , Heegan S.C , 0 : 0 , Elman FC 
09/05/2016 , Waxool FC , 1 : 1 , Badbaado FC 
10/05/2016 , Horseed S.C , 2 : 1 , Sahafi FC 
11/05/2016 , Mogadishu City Club , 0 : 0 , Dekedda SC 
12/05/2016 , Heegan S.C , 1 : 1 , Jeenyo  FC 
13/05/2016 , Waxool FC , 3 : 2 , Gaadiidka FC 
14/05/2016 , Horseed S.C , 2 : 0 , Elman FC 
15/05/2016 , Sahafi FC , 12 : 1 , Badbaado FC 
18/11/2016 , Heegan S.C , 0 : 2 , Elman FC 
20/11/2016 , Gaadiidka FC , 2 : 2 , Jeenyo  FC 
21/11/2016 , Jazeera SC , 1 : 3 , Mogadishu City Club 
22/11/2016 , Bariga Dhexe , 1 : 3 , Dekedda SC 
23/11/2016 , Horseed S.C , 2 : 1 , Waxool FC 
24/11/2016 , Jeenyo  FC , 1 : 1 , Heegan S.C 
25/11/2016 , Elman FC , 1 : 2 , Mogadishu City Club 
26/11/2016 , Gaadiidka FC , 1 : 1 , Dekedda SC 
29/11/2016 , Jazeera SC , 1 : 4 , Waxool FC 
29/11/2016 , Bariga Dhexe , 1 : 1 , Horseed S.C 
13/02/2017 , Heegan S.C , 0 : 0 , Mogadishu City Club 
13/02/2017 , Jeenyo  FC , 2 : 2 , Dekedda SC 
14/02/2017 , Elman FC , 5 : 2 , Waxool FC 
14/02/2017 , Gaadiidka FC , 1 : 1 , Horseed S.C 
16/02/2017 , Jazeera SC , 0 : 2 , Bariga Dhexe 
16/02/2017 , Dekedda SC , 1 : 1 , Heegan S.C 
17/02/2017 , Mogadishu City Club , 3 : 0 , Waxool FC 
17/02/2017 , Jeenyo  FC , 1 : 0 , Horseed S.C 
20/02/2017 , Gaadiidka FC , 7 : 0 , Jazeera SC 
20/02/2017 , Elman FC , 4 : 0 , Bariga Dhexe 
21/02/2017 , Heegan S.C , 2 : 0 , Waxool FC 
21/02/2017 , Dekedda SC , 1 : 2 , Horseed S.C 
23/02/2017 , Mogadishu City Club , 5 : 1 , Bariga Dhexe 
23/02/2017 , Jeenyo  FC , 2 : 2 , Jazeera SC 
24/02/2017 , Horseed S.C , 2 : 1 , Heegan S.C 
24/02/2017 , Elman FC , 3 : 1 , Gaadiidka FC 
27/02/2017 , Dekedda SC , 6 : 0 , Jazeera SC 
27/02/2017 , Waxool FC , 0 : 1 , Bariga Dhexe 
28/02/2017 , Mogadishu City Club , 2 : 1 , Gaadiidka FC 
28/02/2017 , Jeenyo  FC , 1 : 1 , Elman FC 
02/03/2017 , Heegan S.C , 1 : 2 , Bariga Dhexe 
02/03/2017 , Horseed S.C , 2 : 0 , Jazeera SC 
03/03/2017 , Waxool FC , 0 : 4 , Gaadiidka FC 
03/03/2017 , Dekedda SC , 0 : 0 , Elman FC 
06/03/2017 , Mogadishu City Club , 2 : 2 , Jeenyo  FC 
06/03/2017 , Jazeera SC , 1 : 2 , Heegan S.C 
07/03/2017 , Bariga Dhexe , 0 : 6 , Gaadiidka FC 
07/03/2017 , Horseed S.C , 1 : 1 , Elman FC 
09/03/2017 , Waxool FC , 0 : 5 , Jeenyo  FC 
09/03/2017 , Dekedda SC , 1 : 0 , Mogadishu City Club 
10/03/2017 , Jazeera SC , 0 : 7 , Elman FC 
10/03/2017 , Heegan S.C , 1 : 0 , Gaadiidka FC 
13/03/2017 , Bariga Dhexe , 1 : 5 , Jeenyo  FC 
13/03/2017 , Horseed S.C , 0 : 3 , Mogadishu City Club 
14/03/2017 , Waxool FC , 1 : 7 , Dekedda SC 
20/03/2017 , Elman FC , 0 : 0 , Heegan S.C 
20/03/2017 , Jeenyo  FC , 1 : 1 , Gaadiidka FC 
21/03/2017 , Mogadishu City Club , 3 : 1 , Jazeera SC 
21/03/2017 , Dekedda SC , 3 : 0 , Bariga Dhexe 
23/03/2017 , Mogadishu City Club , 0 : 1 , Elman FC 
23/03/2017 , Dekedda SC , 2 : 1 , Gaadiidka FC 
23/03/2017 , Waxool FC , 0 : 0 , Horseed S.C 
23/03/2017 , Heegan S.C , 4 : 3 , Jeenyo  FC 
27/03/2017 , Horseed S.C , 0 : 0 , Bariga Dhexe 
27/03/2017 , Waxool FC , 1 : 2 , Jazeera SC 
27/03/2017 , Mogadishu City Club , 0 : 1 , Heegan S.C 
27/03/2017 , Dekedda SC , 4 : 0 , Jeenyo  FC 
30/03/2017 , Waxool FC , 0 : 2 , Elman FC 
30/03/2017 , Horseed S.C , 2 : 1 , Gaadiidka FC 
31/03/2017 , Bariga Dhexe , 0 : 1 , Jazeera SC 
08/05/2017 , Heegan S.C , 0 : 2 , Dekedda SC 
09/05/2017 , Waxool FC , 2 : 1 , Mogadishu City Club 
11/05/2017 , Horseed S.C , 1 : 0 , Jeenyo  FC 
12/05/2017 , Bariga Dhexe , 0 : 6 , Elman FC 
14/05/2017 , Jazeera SC , 1 : 6 , Gaadiidka FC 
15/05/2017 , Waxool FC , 0 : 2 , Heegan S.C 
16/05/2017 , Horseed S.C , 1 : 1 , Dekedda SC 
18/05/2017 , Bariga Dhexe , 1 : 4 , Mogadishu City Club 
19/05/2017 , Jazeera SC , 1 : 3 , Jeenyo  FC 
21/05/2017 , Gaadiidka FC , 3 : 0 , Elman FC 
06/07/2017 , Heegan S.C , 1 : 1 , Horseed S.C 
07/07/2017 , Bariga Dhexe , 0 : 2 , Waxool FC 
10/07/2017 , Jazeera SC , 0 : 1 , Dekedda SC 
11/07/2017 , Gaadiidka FC , 0 : 0 , Mogadishu City Club 
12/07/2017 , Elman FC , 0 : 1 , Jeenyo  FC 
13/07/2017 , Bariga Dhexe , 0 : 4 , Heegan S.C 
14/07/2017 , Jazeera SC , 1 : 3 , Horseed S.C 
17/07/2017 , Gaadiidka FC , 1 : 1 , Waxool FC 
18/07/2017 , Elman FC , 0 : 2 , Dekedda SC 
19/07/2017 , Jeenyo  FC , 0 : 3 , Mogadishu City Club 
20/07/2017 , Heegan S.C , 2 : 0 , Jazeera SC 
21/07/2017 , Gaadiidka FC , 2 : 0 , Bariga Dhexe 
24/07/2017 , Elman FC , 1 : 1 , Horseed S.C 
25/07/2017 , Jeenyo  FC , 0 : 0 , Waxool FC 
26/07/2017 , Mogadishu City Club , 1 : 1 , Dekedda SC 
27/07/2017 , Gaadiidka FC , 2 : 3 , Heegan S.C 
28/07/2017 , Elman FC , 4 : 0 , Jazeera SC 
31/07/2017 , Jeenyo  FC , 1 : 0 , Bariga Dhexe 
01/08/2017 , Mogadishu City Club , 1 : 0 , Horseed S.C 
02/08/2017 , Dekedda SC , 2 : 0 , Waxool FC 
22/01/2018 , Dekedda SC , 1 : 0 , Waxool FC 
23/01/2018 , Batroolka FC , 0 : 0 , Gaadiidka FC 
24/01/2018 , Heegan S.C , 4 : 1 , Elman FC 
25/01/2018 , Madbacadda FC , 1 : 1 , Jeenyo  FC 
26/01/2018 , Horseed S.C , 1 : 0 , Mogadishu City Club 
29/01/2018 , Gaadiidka FC , 1 : 1 , Dekedda SC 
30/01/2018 , Waxool FC , 0 : 4 , Elman FC 
31/01/2018 , Batroolka FC , 0 : 0 , Jeenyo  FC 
01/02/2018 , Heegan S.C , 1 : 1 , Mogadishu City Club 
02/02/2018 , Madbacadda FC , 0 : 0 , Horseed S.C 
05/02/2018 , Dekedda SC , 1 : 0 , Elman FC 
06/02/2018 , Gaadiidka FC , 0 : 1 , Jeenyo  FC 
07/02/2018 , Waxool FC , 1 : 4 , Mogadishu City Club 
08/02/2018 , Batroolka FC , 1 : 5 , Horseed S.C 
09/02/2018 , Heegan S.C , 0 : 0 , Madbacadda FC 
12/02/2018 , Jeenyo  FC , 0 : 2 , Dekedda SC 
13/02/2018 , Elman FC , 2 : 6 , Mogadishu City Club 
14/02/2018 , Gaadiidka FC , 1 : 3 , Horseed S.C 
15/02/2018 , Waxool FC , 0 : 1 , Madbacadda FC 
16/02/2018 , Batroolka FC , 1 : 2 , Heegan S.C 
19/02/2018 , Dekedda SC , 1 : 0 , Mogadishu City Club 
20/02/2018 , Jeenyo  FC , 0 : 2 , Horseed S.C 
21/02/2018 , Elman FC , 5 : 1 , Madbacadda FC 
22/02/2018 , Gaadiidka FC , 1 : 2 , Heegan S.C 
23/02/2018 , Waxool FC , 2 : 2 , Batroolka FC 
26/02/2018 , Horseed S.C , 0 : 0 , Dekedda SC 
27/02/2018 , Mogadishu City Club , 2 : 0 , Madbacadda FC 
28/02/2018 , Jeenyo  FC , 1 : 0 , Heegan S.C 
01/03/2018 , Elman FC , 1 : 4 , Batroolka FC 
02/03/2018 , Gaadiidka FC , 1 : 1 , Waxool FC 
05/03/2018 , Dekedda SC , 7 : 1 , Madbacadda FC 
06/03/2018 , Horseed S.C , 0 : 0 , Heegan S.C 
07/03/2018 , Mogadishu City Club , 1 : 1 , Batroolka FC 
08/03/2018 , Jeenyo  FC , 0 : 1 , Waxool FC 
09/03/2018 , Elman FC , 3 : 0 , Gaadiidka FC 
12/03/2018 , Heegan S.C , 0 : 0 , Dekedda SC 
13/03/2018 , Madbacadda FC , 0 : 0 , Batroolka FC 
14/03/2018 , Horseed S.C , 3 : 0 , Waxool FC 
15/03/2018 , Mogadishu City Club , 3 : 0 , Gaadiidka FC 
16/03/2018 , Jeenyo  FC , 2 : 2 , Elman FC 
19/03/2018 , Dekedda SC , 5 : 0 , Batroolka FC 
