date,home,score,away
20/03/2018 , Heegan S.C , 5 : 0 , Waxool FC 
21/03/2018 , Madbacadda FC , 0 : 2 , Gaadiidka FC 
22/03/2018 , Horseed S.C , 2 : 0 , Elman FC 
23/03/2018 , Mogadishu City Club , 4 : 2 , Jeenyo  FC 
26/03/2018 , Waxool FC , 1 : 4 , Dekedda SC 
27/03/2018 , Gaadiidka FC , 0 : 1 , Batroolka FC 
28/03/2018 , Elman FC , 1 : 2 , Heegan S.C 
29/03/2018 , Jeenyo  FC , 1 : 1 , Madbacadda FC 
30/03/2018 , Mogadishu City Club , 3 : 2 , Horseed S.C 
31/03/2018 , Dekedda SC , 6 : 0 , Gaadiidka FC 
01/04/2018 , Elman FC , 4 : 1 , Waxool FC 
02/04/2018 , Jeenyo  FC , 6 : 0 , Batroolka FC 
03/04/2018 , Mogadishu City Club , 1 : 1 , Heegan S.C 
04/04/2018 , Horseed S.C , 1 : 1 , Madbacadda FC 
05/04/2018 , Elman FC , 3 : 0 , Dekedda SC 
07/04/2018 , Jeenyo  FC , 3 : 6 , Gaadiidka FC 
08/04/2018 , Mogadishu City Club , 2 : 0 , Waxool FC 
09/04/2018 , Horseed S.C , 5 : 0 , Batroolka FC 
10/04/2018 , Madbacadda FC , 1 : 0 , Heegan S.C 
11/04/2018 , Dekedda SC , 3 : 0 , Jeenyo  FC 
12/04/2018 , Mogadishu City Club , 4 : 2 , Elman FC 
13/04/2018 , Horseed S.C , 0 : 0 , Gaadiidka FC 
14/04/2018 , Madbacadda FC , 1 : 2 , Waxool FC 
15/04/2018 , Heegan S.C , 3 : 0 , Batroolka FC 
16/04/2018 , Mogadishu City Club , 0 : 0 , Dekedda SC 
17/04/2018 , Horseed S.C , 0 : 0 , Jeenyo  FC 
18/04/2018 , Madbacadda FC , 1 : 1 , Elman FC 
19/04/2018 , Heegan S.C , 3 : 1 , Gaadiidka FC 
20/04/2018 , Batroolka FC , 1 : 2 , Waxool FC 
21/04/2018 , Dekedda SC , 2 : 2 , Horseed S.C 
22/04/2018 , Madbacadda FC , 2 : 2 , Mogadishu City Club 
23/04/2018 , Heegan S.C , 4 : 1 , Jeenyo  FC 
24/04/2018 , Batroolka FC , 1 : 2 , Mogadishu City Club 
25/04/2018 , Waxool FC , 1 : 2 , Jeenyo  FC 
26/04/2018 , Gaadiidka FC , 1 : 2 , Mogadishu City Club 
27/04/2018 , Batroolka FC , 2 : 2 , Elman FC 
28/04/2018 , Jeenyo  FC , 1 : 2 , Mogadishu City Club 
29/04/2018 , Heegan S.C , 1 : 0 , Horseed S.C 
30/04/2018 , Gaadiidka FC , 2 : 2 , Elman FC 
01/05/2018 , Batroolka FC , 1 : 4 , Madbacadda FC 
02/05/2018 , Dekedda SC , 1 : 1 , Heegan S.C 
03/05/2018 , Waxool FC , 1 : 3 , Gaadiidka FC 
04/05/2018 , Elman FC , 2 : 1 , Jeenyo  FC 
05/05/2018 , Madbacadda FC , 0 : 5 , Dekedda SC 
06/05/2018 , Waxool FC , 1 : 4 , Horseed S.C 
08/05/2018 , Gaadiidka FC , 4 : 1 , Madbacadda FC 
09/05/2018 , Batroolka FC , 1 : 6 , Dekedda SC 
10/05/2018 , Elman FC , 2 : 3 , Horseed S.C 
11/05/2018 , Waxool FC , 0 : 7 , Heegan S.C 
07/02/2019 , Dekedda SC , 1 : 1 , Gaadiidka FC 
08/02/2019 , Jeenyo  FC , 1 : 0 , Mogadishu City Club 
11/02/2019 , Heegan S.C , 1 : 0 , Madbacadda FC 
12/02/2019 , Jazeera SC , 0 : 1 , Midnimo FC 
13/02/2019 , Horseed S.C , 0 : 0 , Elman FC 
14/02/2019 , Jeenyo  FC , 2 : 8 , Dekedda SC 
15/02/2019 , Gaadiidka FC , 0 : 0 , Madbacadda FC 
18/02/2019 , Mogadishu City Club , 1 : 1 , Midnimo FC 
19/02/2019 , Heegan S.C , 1 : 3 , Elman FC 
20/02/2019 , Jazeera SC , 1 : 1 , Horseed S.C 
21/02/2019 , Dekedda SC , 1 : 0 , Madbacadda FC 
22/02/2019 , Jeenyo  FC , 0 : 1 , Midnimo FC 
25/02/2019 , Gaadiidka FC , 1 : 3 , Elman FC 
26/02/2019 , Mogadishu City Club , 1 : 2 , Horseed S.C 
27/02/2019 , Heegan S.C , 3 : 0 , Jazeera SC 
28/02/2019 , Midnimo FC , 0 : 2 , Dekedda SC 
01/03/2019 , Madbacadda FC , 1 : 0 , Elman FC 
03/03/2019 , Jeenyo  FC , 0 : 4 , Horseed S.C 
05/03/2019 , Gaadiidka FC , 0 : 1 , Jazeera SC 
06/03/2019 , Mogadishu City Club , 1 : 0 , Heegan S.C 
07/03/2019 , Dekedda SC , 1 : 0 , Elman FC 
08/03/2019 , Midnimo FC , 0 : 2 , Horseed S.C 
11/03/2019 , Madbacadda FC , 1 : 2 , Jazeera SC 
12/03/2019 , Jeenyo  FC , 0 : 2 , Heegan S.C 
13/03/2019 , Gaadiidka FC , 1 : 2 , Mogadishu City Club 
14/03/2019 , Horseed S.C , 1 : 0 , Dekedda SC 
15/03/2019 , Elman FC , 3 : 2 , Jazeera SC 
18/03/2019 , Midnimo FC , 1 : 3 , Heegan S.C 
19/03/2019 , Madbacadda FC , 1 : 4 , Mogadishu City Club 
20/03/2019 , Jeenyo  FC , 2 : 4 , Gaadiidka FC 
21/03/2019 , Dekedda SC , 2 : 1 , Jazeera SC 
22/03/2019 , Horseed S.C , 0 : 1 , Heegan S.C 
25/03/2019 , Elman FC , 1 : 1 , Mogadishu City Club 
26/03/2019 , Midnimo FC , 0 : 2 , Gaadiidka FC 
27/03/2019 , Madbacadda FC , 2 : 1 , Jeenyo  FC 
28/03/2019 , Heegan S.C , 1 : 1 , Dekedda SC 
29/03/2019 , Jazeera SC , 2 : 5 , Mogadishu City Club 
01/04/2019 , Horseed S.C , 6 : 0 , Gaadiidka FC 
02/04/2019 , Elman FC , 3 : 1 , Jeenyo  FC 
03/04/2019 , Midnimo FC , 1 : 0 , Madbacadda FC 
04/04/2019 , Dekedda SC , 1 : 0 , Mogadishu City Club 
04/04/2019 , Heegan S.C , 4 : 0 , Gaadiidka FC 
08/04/2019 , Jeenyo  FC , 0 : 1 , Jazeera SC 
09/04/2019 , Horseed S.C , 4 : 0 , Madbacadda FC 
10/04/2019 , Elman FC , 1 : 2 , Midnimo FC 
22/04/2019 , Gaadiidka FC , 0 : 4 , Dekedda SC 
23/04/2019 , Jeenyo  FC , 0 : 4 , Mogadishu City Club 
24/04/2019 , Madbacadda FC , 3 : 4 , Heegan S.C 
25/04/2019 , Midnimo FC , 2 : 2 , Jazeera SC 
26/04/2019 , Elman FC , 2 : 1 , Horseed S.C 
29/04/2019 , Dekedda SC , 4 : 1 , Jeenyo  FC 
30/04/2019 , Madbacadda FC , 0 : 2 , Gaadiidka FC 
02/05/2019 , Elman FC , 2 : 1 , Heegan S.C 
03/05/2019 , Horseed S.C , 3 : 1 , Jazeera SC 
07/06/2019 , Madbacadda FC , 0 : 2 , Dekedda SC 
08/06/2019 , Midnimo FC , 0 : 0 , Jeenyo  FC 
09/06/2019 , Elman FC , 3 : 1 , Gaadiidka FC 
10/06/2019 , Horseed S.C , 1 : 0 , Mogadishu City Club 
11/06/2019 , Jazeera SC , 0 : 0 , Heegan S.C 
12/06/2019 , Elman FC , 1 : 1 , Madbacadda FC 
12/06/2019 , Dekedda SC , 1 : 0 , Midnimo FC 
13/06/2019 , Horseed S.C , 3 : 0 , Jeenyo  FC 
13/06/2019 , Jazeera SC , 2 : 2 , Gaadiidka FC 
14/06/2019 , Heegan S.C , 0 : 0 , Mogadishu City Club 
15/06/2019 , Elman FC , 2 : 0 , Dekedda SC 
15/06/2019 , Horseed S.C , 3 : 0 , Midnimo FC 
17/06/2019 , Jazeera SC , 0 : 0 , Madbacadda FC 
18/06/2019 , Heegan S.C , 1 : 1 , Jeenyo  FC 
19/06/2019 , Mogadishu City Club , 1 : 0 , Gaadiidka FC 
20/06/2019 , Dekedda SC , 1 : 1 , Horseed S.C 
20/06/2019 , Jazeera SC , 2 : 2 , Elman FC 
21/06/2019 , Heegan S.C , 2 : 0 , Midnimo FC 
21/06/2019 , Mogadishu City Club , 0 : 0 , Madbacadda FC 
22/06/2019 , Gaadiidka FC , 2 : 1 , Jeenyo  FC 
24/06/2019 , Jazeera SC , 1 : 4 , Dekedda SC 
25/06/2019 , Heegan S.C , 1 : 1 , Horseed S.C 
26/06/2019 , Mogadishu City Club , 2 : 2 , Elman FC 
27/06/2019 , Gaadiidka FC , 1 : 0 , Midnimo FC 
28/06/2019 , Jeenyo  FC , 2 : 4 , Madbacadda FC 
29/06/2019 , Dekedda SC , 1 : 0 , Heegan S.C 
30/06/2019 , Mogadishu City Club , 4 : 5 , Jazeera SC 
01/07/2019 , Gaadiidka FC , 0 : 3 , Horseed S.C 
01/07/2019 , Jeenyo  FC , 2 : 6 , Elman FC 
02/07/2019 , Madbacadda FC , 0 : 1 , Midnimo FC 
02/07/2019 , Mogadishu City Club , 2 : 3 , Dekedda SC 
03/07/2019 , Gaadiidka FC , 0 : 1 , Heegan S.C 
03/07/2019 , Jeenyo  FC , 2 : 4 , Jazeera SC 
04/07/2019 , Madbacadda FC , 0 : 3 , Horseed S.C 
04/07/2019 , Midnimo FC , 0 : 0 , Elman FC 
26/12/2019 , Raadsan FC , 3 : 0 , Gaadiidka FC 
26/12/2019 , Dekedda SC , 1 : 1 , Midnimo FC 
28/12/2019 , Mogadishu City Club , 1 : 2 , Rajo FC 
28/12/2019 , Elman FC , 1 : 1 , Heegan S.C 
30/12/2019 , Horseed S.C , 1 : 1 , Jazeera SC 
01/01/2020 , Gaadiidka FC , 0 : 1 , Dekedda SC 
02/01/2020 , Midnimo FC , 0 : 2 , Heegan S.C 
03/01/2020 , Raadsan FC , 2 : 2 , Rajo FC 
06/01/2020 , Elman FC , 4 : 1 , Jazeera SC 
07/01/2020 , Mogadishu City Club , 0 : 0 , Horseed S.C 
08/01/2020 , Dekedda SC , 2 : 1 , Heegan S.C 
09/01/2020 , Gaadiidka FC , 3 : 1 , Rajo FC 
10/01/2020 , Midnimo FC , 3 : 0 , Jazeera SC 
13/01/2020 , Raadsan FC , 2 : 4 , Horseed S.C 
14/01/2020 , Elman FC , 1 : 1 , Mogadishu City Club 
15/01/2020 , Rajo FC , 0 : 2 , Dekedda SC 
16/01/2020 , Heegan S.C , 2 : 0 , Jazeera SC 
17/01/2020 , Gaadiidka FC , 0 : 1 , Horseed S.C 
20/01/2020 , Midnimo FC , 0 : 4 , Mogadishu City Club 
21/01/2020 , Raadsan FC , 2 : 3 , Elman FC 
22/01/2020 , Dekedda SC , 2 : 1 , Jazeera SC 
23/01/2020 , Rajo FC , 0 : 2 , Horseed S.C 
24/01/2020 , Heegan S.C , 0 : 3 , Mogadishu City Club 
27/01/2020 , Gaadiidka FC , 1 : 3 , Elman FC 
28/01/2020 , Midnimo FC , 0 : 3 , Raadsan FC 
29/01/2020 , Horseed S.C , 0 : 0 , Dekedda SC 
30/01/2020 , Jazeera SC , 1 : 3 , Mogadishu City Club 
31/01/2020 , Rajo FC , 1 : 6 , Elman FC 
03/02/2020 , Heegan S.C , 2 : 1 , Raadsan FC 
04/02/2020 , Gaadiidka FC , 0 : 2 , Midnimo FC 
05/02/2020 , Dekedda SC , 0 : 5 , Mogadishu City Club 
06/02/2020 , Horseed S.C , 2 : 3 , Elman FC 
07/02/2020 , Jazeera SC , 2 : 2 , Raadsan FC 
10/02/2020 , Rajo FC , 1 : 1 , Midnimo FC 
11/02/2020 , Heegan S.C , 1 : 1 , Gaadiidka FC 
12/02/2020 , Elman FC , 0 : 1 , Dekedda SC 
13/02/2020 , Mogadishu City Club , 2 : 3 , Raadsan FC 
14/02/2020 , Horseed S.C , 1 : 0 , Midnimo FC 
17/02/2020 , Jazeera SC , 1 : 1 , Gaadiidka FC 
18/02/2020 , Rajo FC , 1 : 2 , Heegan S.C 
19/02/2020 , Dekedda SC , 1 : 0 , Raadsan FC 
20/02/2020 , Elman FC , 1 : 1 , Midnimo FC 
21/02/2020 , Mogadishu City Club , 3 : 0 , Gaadiidka FC 
24/02/2020 , Horseed S.C , 1 : 0 , Heegan S.C 
25/02/2020 , Jazeera SC , 4 : 2 , Rajo FC 
02/03/2020 , Midnimo FC , 0 : 0 , Dekedda SC 
03/03/2020 , Gaadiidka FC , 5 : 0 , Raadsan FC 
04/03/2020 , Heegan S.C , 3 : 1 , Elman FC 
05/03/2020 , Rajo FC , 0 : 5 , Mogadishu City Club 
06/03/2020 , Jazeera SC , 0 : 1 , Horseed S.C 
09/03/2020 , Dekedda SC , 1 : 3 , Gaadiidka FC 
10/03/2020 , Heegan S.C , 0 : 1 , Midnimo FC 
11/03/2020 , Rajo FC , 0 : 4 , Raadsan FC 
12/03/2020 , Jazeera SC , 2 : 4 , Elman FC 
13/03/2020 , Horseed S.C , 0 : 0 , Mogadishu City Club 
16/03/2020 , Heegan S.C , 1 : 0 , Dekedda SC 
17/03/2020 , Rajo FC , 0 : 7 , Gaadiidka FC 
18/03/2020 , Jazeera SC , 1 : 2 , Midnimo FC 
18/06/2020 , Horseed S.C , 4 : 0 , Raadsan FC 
19/06/2020 , Mogadishu City Club , 2 : 0 , Elman FC 
22/06/2020 , Dekedda SC , 4 : 1 , Rajo FC 
23/06/2020 , Jazeera SC , 0 : 3 , Heegan S.C 
24/06/2020 , Horseed S.C , 0 : 1 , Gaadiidka FC 
25/06/2020 , Mogadishu City Club , 2 : 1 , Midnimo FC 
26/06/2020 , Elman FC , 2 : 1 , Raadsan FC 
18/01/2021 , Heegan S.C , 1 : 0 , Midnimo FC 
19/01/2021 , Geeska Afrika FC , 0 : 0 , Jeenyo  FC 
20/01/2021 , Raadsan FC , 1 : 0 , Horseed S.C 
21/01/2021 , Elman FC , 0 : 1 , Mogadishu City Club 
22/01/2021 , Dekedda SC , 1 : 1 , Gaadiidka FC 
25/01/2021 , Jeenyo  FC , 1 : 2 , Heegan S.C 
26/01/2021 , Midnimo FC , 0 : 2 , Horseed S.C 
27/01/2021 , Geeska Afrika FC , 0 : 2 , Mogadishu City Club 
28/01/2021 , Raadsan FC , 1 : 0 , Gaadiidka FC 
29/01/2021 , Elman FC , 2 : 1 , Dekedda SC 
01/02/2021 , Heegan S.C , 1 : 1 , Horseed S.C 
02/02/2021 , Jeenyo  FC , 1 : 0 , Mogadishu City Club 
03/02/2021 , Midnimo FC , 1 : 1 , Gaadiidka FC 
04/02/2021 , Geeska Afrika FC , 0 : 3 , Dekedda SC 
05/02/2021 , Raadsan FC , 1 : 0 , Elman FC 
08/02/2021 , Mogadishu City Club , 3 : 2 , Heegan S.C 
09/02/2021 , Horseed S.C , 1 : 3 , Gaadiidka FC 
10/02/2021 , Jeenyo  FC , 0 : 4 , Dekedda SC 
11/02/2021 , Midnimo FC , 1 : 0 , Elman FC 
12/02/2021 , Geeska Afrika FC , 0 : 2 , Raadsan FC 
15/02/2021 , Heegan S.C , 3 : 0 , Gaadiidka FC 
16/02/2021 , Mogadishu City Club , 1 : 0 , Dekedda SC 
17/02/2021 , Horseed S.C , 3 : 0 , Elman FC 
18/02/2021 , Jeenyo  FC , 1 : 1 , Raadsan FC 
22/02/2021 , Midnimo FC , 2 : 1 , Geeska Afrika FC 
22/02/2021 , Dekedda SC , 0 : 0 , Heegan S.C 
23/02/2021 , Gaadiidka FC , 0 : 1 , Elman FC 
24/02/2021 , Mogadishu City Club , 1 : 0 , Raadsan FC 
25/02/2021 , Horseed S.C , 3 : 1 , Geeska Afrika FC 
26/02/2021 , Jeenyo  FC , 1 : 0 , Midnimo FC 
01/03/2021 , Heegan S.C , 1 : 0 , Elman FC 
02/03/2021 , Dekedda SC , 1 : 2 , Raadsan FC 
02/03/2021 , Gaadiidka FC , 6 : 0 , Geeska Afrika FC 
04/03/2021 , Mogadishu City Club , 1 : 0 , Midnimo FC 
05/03/2021 , Horseed S.C , 3 : 0 , Jeenyo  FC 
08/03/2021 , Raadsan FC , 0 : 0 , Heegan S.C 
09/03/2021 , Elman FC , 4 : 0 , Geeska Afrika FC 
10/03/2021 , Dekedda SC , 1 : 2 , Midnimo FC 
11/03/2021 , Gaadiidka FC , 2 : 2 , Jeenyo  FC 
12/03/2021 , Mogadishu City Club , 1 : 1 , Horseed S.C 
15/03/2021 , Heegan S.C , 1 : 1 , Geeska Afrika FC 
16/03/2021 , Raadsan FC , 1 : 0 , Midnimo FC 
17/03/2021 , Elman FC , 1 : 2 , Jeenyo  FC 
18/03/2021 , Dekedda SC , 0 : 2 , Horseed S.C 
19/03/2021 , Gaadiidka FC , 0 : 1 , Mogadishu City Club 
17/05/2021 , Heegan S.C , 2 : 1 , Midnimo FC 
18/05/2021 , Jeenyo  FC , 4 : 2 , Geeska Afrika FC 
19/05/2021 , Horseed S.C , 0 : 0 , Raadsan FC 
20/05/2021 , Mogadishu City Club , 2 : 2 , Elman FC 
21/05/2021 , Gaadiidka FC , 0 : 3 , Dekedda SC 
24/05/2021 , Heegan S.C , 1 : 1 , Jeenyo  FC 
25/05/2021 , Horseed S.C , 5 : 2 , Midnimo FC 
25/05/2021 , Mogadishu City Club , 4 : 0 , Geeska Afrika FC 
27/05/2021 , Gaadiidka FC , 1 : 1 , Raadsan FC 
31/05/2021 , Dekedda SC , 1 : 1 , Elman FC 
01/06/2021 , Horseed S.C , 1 : 1 , Heegan S.C 
02/06/2021 , Mogadishu City Club , 2 : 1 , Jeenyo  FC 
03/06/2021 , Gaadiidka FC , 1 : 2 , Midnimo FC 
04/06/2021 , Dekedda SC , 1 : 2 , Geeska Afrika FC 
05/06/2021 , Elman FC , 3 : 2 , Raadsan FC 
06/06/2021 , Heegan S.C , 1 : 0 , Mogadishu City Club 
07/06/2021 , Gaadiidka FC , 0 : 5 , Horseed S.C 
08/06/2021 , Dekedda SC , 3 : 1 , Jeenyo  FC 
09/06/2021 , Elman FC , 0 : 2 , Midnimo FC 
10/06/2021 , Raadsan FC , 3 : 0 , Geeska Afrika FC 
27/06/2021 , Gaadiidka FC , 2 : 3 , Heegan S.C 
28/06/2021 , Dekedda SC , 1 : 1 , Mogadishu City Club 
29/06/2021 , Horseed S.C , 2 : 0 , Elman FC 
30/06/2021 , Raadsan FC , 0 : 0 , Jeenyo  FC 
01/07/2021 , Geeska Afrika FC , 0 : 4 , Midnimo FC 
02/07/2021 , Heegan S.C , 1 : 5 , Dekedda SC 
03/07/2021 , Elman FC , 0 : 2 , Gaadiidka FC 
04/07/2021 , Raadsan FC , 1 : 1 , Mogadishu City Club 
05/07/2021 , Geeska Afrika FC , 0 : 4 , Horseed S.C 
06/07/2021 , Midnimo FC , 1 : 0 , Jeenyo  FC 
07/07/2021 , Elman FC , 1 : 2 , Heegan S.C 
08/07/2021 , Raadsan FC , 0 : 2 , Dekedda SC 
09/07/2021 , Geeska Afrika FC , 1 : 8 , Gaadiidka FC 
10/07/2021 , Midnimo FC , 0 : 2 , Mogadishu City Club 
11/07/2021 , Jeenyo  FC , 1 : 3 , Horseed S.C 
12/07/2021 , Heegan S.C , 0 : 1 , Raadsan FC 
13/07/2021 , Geeska Afrika FC , 0 : 5 , Elman FC 
14/07/2021 , Midnimo FC , 0 : 0 , Dekedda SC 
16/07/2021 , Jeenyo  FC , 1 : 2 , Gaadiidka FC 
16/07/2021 , Horseed S.C , 0 : 0 , Mogadishu City Club 
17/07/2021 , Geeska Afrika FC , 0 : 13 , Heegan S.C 
18/07/2021 , Midnimo FC , 0 : 2 , Raadsan FC 
21/07/2021 , Jeenyo  FC , 2 : 1 , Elman FC 
22/07/2021 , Horseed S.C , 1 : 0 , Dekedda SC 
23/07/2021 , Mogadishu City Club , 4 : 2 , Gaadiidka FC 
