Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws,Result_Encoded,Home_Form,Away_Form
2012, Elman FC , Badbaado FC ,3,1,2,-2,0,0,0,0,0,0,0,1,3.0,2.0
2012, Sahafi FC , Jeenyo  FC ,1,1,0,0,0,0,0,0,0,0,0,0,5.0,2.0
2012, Heegan S.C , Dekedda SC ,1,1,0,0,0,0,0,0,0,0,0,0,7.0,10.0
2012, Mogadishu City Club , Horseed S.C ,1,1,0,0,0,0,0,0,0,0,0,0,11.0,13.0
2012, Jeenyo  FC , Elman FC ,1,1,0,0,0,1,0,0,0,0,0,0,9.0,5.0
2012, Badbaado FC , Dekedda SC ,2,3,-1,1,0,0,0,0,0,0,0,-1,0.0,10.0
2012, Sahafi FC , Horseed S.C ,1,1,0,0,0,0,0,0,0,0,0,0,5.0,13.0
2012, Heegan S.C , Mogadishu City Club ,3,2,1,-1,0,0,0,0,0,0,0,1,7.0,6.0
2012, Elman FC , Dekedda SC ,4,0,4,-4,1,1,0,0,0,0,0,1,3.0,10.0
2012, Jeenyo  FC , Horseed S.C ,0,0,0,0,0,0,0,0,0,0,0,0,9.0,13.0
2012, Badbaado FC , Mogadishu City Club ,0,3,-3,3,0,0,0,0,0,0,0,-1,0.0,6.0
2012, Sahafi FC , Heegan S.C ,0,1,-1,1,0,1,0,0,0,0,0,-1,5.0,11.0
2012, Horseed S.C , Elman FC ,1,3,-2,2,0,2,0,0,0,0,0,-1,11.0,5.0
2012, Dekedda SC , Mogadishu City Club ,1,1,0,0,1,1,0,0,0,0,0,0,5.0,6.0
2012, Jeenyo  FC , Heegan S.C ,0,0,0,0,0,2,0,0,0,0,0,0,9.0,11.0
2012, Badbaado FC , Sahafi FC ,0,1,-1,1,0,0,0,0,0,0,0,-1,0.0,1.0
2012, Elman FC , Mogadishu City Club ,1,1,0,0,3,1,0,0,0,0,0,0,3.0,6.0
2012, Horseed S.C , Heegan S.C ,2,2,0,0,0,2,0,0,0,0,0,0,11.0,11.0
2012, Dekedda SC , Sahafi FC ,0,0,0,0,1,1,0,0,0,0,0,0,5.0,1.0
2012, Jeenyo  FC , Badbaado FC ,4,0,4,-4,0,0,0,0,0,0,0,1,9.0,2.0
2012, Heegan S.C , Elman FC ,0,3,-3,3,2,3,0,0,0,0,0,-1,7.0,5.0
2012, Mogadishu City Club , Sahafi FC ,1,0,1,-1,1,1,0,0,0,0,0,1,11.0,1.0
2012, Horseed S.C , Badbaado FC ,2,0,2,-2,0,0,0,0,0,0,0,1,11.0,2.0
2012, Dekedda SC , Jeenyo  FC ,1,1,0,0,1,1,0,0,0,0,0,0,5.0,2.0
2012, Elman FC , Sahafi FC ,2,1,1,-1,3,1,0,0,0,0,0,1,3.0,1.0
2012, Heegan S.C , Badbaado FC ,3,1,2,-2,2,0,0,0,0,0,0,1,7.0,2.0
2012, Mogadishu City Club , Jeenyo  FC ,1,1,0,0,2,1,0,0,0,0,0,0,11.0,2.0
2012, Horseed S.C , Dekedda SC ,2,1,1,-1,1,1,0,0,0,0,0,1,11.0,10.0
2012, Badbaado FC , Elman FC ,2,5,-3,3,0,4,0,1,1,0,0,-1,0.0,5.0
2012, Jeenyo  FC , Sahafi FC ,1,1,0,0,1,1,0,0,0,0,1,0,9.0,1.0
2012, Dekedda SC , Heegan S.C ,2,4,-2,2,0,2,0,0,0,0,1,-1,5.0,11.0
2012, Horseed S.C , Mogadishu City Club ,0,2,-2,2,2,2,0,0,0,0,1,-1,11.0,6.0
2012, Elman FC , Jeenyo  FC ,1,2,-1,1,4,1,0,0,0,0,1,-1,3.0,2.0
2012, Dekedda SC , Badbaado FC ,5,1,4,-4,0,0,0,0,0,0,0,1,5.0,2.0
2012, Horseed S.C , Sahafi FC ,0,0,0,0,2,1,0,0,0,0,1,0,11.0,1.0
2012, Mogadishu City Club , Heegan S.C ,1,1,0,0,2,2,0,1,1,0,0,0,11.0,11.0
2012, Dekedda SC , Elman FC ,2,3,-1,1,1,3,0,1,1,0,0,-1,5.0,5.0
2012, Horseed S.C , Jeenyo  FC ,1,2,-1,1,2,2,0,0,0,0,1,-1,11.0,2.0
2012, Mogadishu City Club , Badbaado FC ,2,2,0,0,2,0,0,0,0,0,0,0,11.0,2.0
2012, Heegan S.C , Sahafi FC ,2,0,2,-2,2,0,0,0,0,0,0,1,7.0,1.0
2012, Elman FC , Horseed S.C ,2,0,2,-2,4,2,0,0,0,0,0,1,3.0,13.0
2012, Mogadishu City Club , Dekedda SC ,1,2,-1,1,2,1,0,0,0,0,1,-1,11.0,10.0
2012, Heegan S.C , Jeenyo  FC ,0,1,-1,1,3,2,0,0,0,0,1,-1,7.0,2.0
2012, Sahafi FC , Badbaado FC ,2,1,1,-1,0,0,0,0,0,0,0,1,5.0,2.0
2012, Mogadishu City Club , Elman FC ,1,2,-1,1,1,4,0,0,0,0,1,-1,11.0,5.0
2012, Heegan S.C , Horseed S.C ,1,0,1,-1,3,1,0,0,0,0,1,1,7.0,13.0
2012, Sahafi FC , Dekedda SC ,0,0,0,0,1,2,0,0,0,0,1,0,5.0,10.0
2012, Badbaado FC , Jeenyo  FC ,1,3,-2,2,0,3,0,1,1,0,0,-1,0.0,2.0
2012, Elman FC , Heegan S.C ,1,3,-2,2,4,3,0,0,0,0,0,-1,3.0,11.0
2012, Sahafi FC , Mogadishu City Club ,0,0,0,0,1,1,0,1,1,0,0,0,5.0,6.0
2012, Badbaado FC , Horseed S.C ,0,1,-1,1,0,0,0,1,1,0,0,-1,0.0,13.0
2012, Jeenyo  FC , Dekedda SC ,1,1,0,0,4,2,0,0,0,0,1,0,9.0,10.0
2012, Sahafi FC , Elman FC ,0,2,-2,2,1,3,0,1,1,0,0,-1,5.0,5.0
2012, Badbaado FC , Heegan S.C ,0,3,-3,3,0,3,0,1,1,0,0,-1,0.0,11.0
2012, Jeenyo  FC , Mogadishu City Club ,1,0,1,-1,4,0,0,0,0,0,1,1,9.0,6.0
2012, Dekedda SC , Horseed S.C ,2,2,0,0,2,1,0,1,1,0,0,0,5.0,13.0
2013, Albeder , Ummah Hospital ,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0
2013, Geeska Afrika FC , Midnimo FC ,2,1,1,-1,0,0,0,0,0,0,0,1,0.0,9.0
2013, Sahafi FC , Badbaado FC ,1,0,1,-1,1,0,1,0,0,1,0,1,5.0,2.0
2013, Bariga Dhexe , Jazeera SC ,2,1,1,-1,0,0,0,0,0,0,0,1,0.0,1.0
2013, SomaliFruit FC , Gantaalaha Afgooye FC ,2,0,2,-2,0,0,0,0,0,0,0,1,4.0,5.0
2013, Waxool FC , ,6,0,6,-6,0,0,0,0,0,0,0,1,0.0,2.0
2013, Madbacadda FC , ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0
2013, Raadsan FC , Gasko FC ,4,2,2,-2,0,0,0,0,0,0,0,1,8.0,1.0
2013, Badbaado FC , Albeder ,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6.0
2013, Jamhuuriya FC , Jazeera SC ,2,3,-1,1,0,0,0,0,0,0,0,-1,5.0,1.0
2013, Ummah Hospital , Gantaalaha Afgooye FC ,2,1,1,-1,0,0,0,0,0,0,0,1,8.0,5.0
2013, Geeska Afrika FC , ,2,1,1,-1,1,0,0,0,0,0,0,1,0.0,2.0
2013, Sahafi FC , ,2,2,0,0,2,0,0,0,0,0,0,0,5.0,2.0
2013, Bariga Dhexe , Gasko FC ,6,0,6,-6,1,0,0,0,0,0,0,1,0.0,1.0
2013, SomaliFruit FC , Madbacadda FC ,2,3,-1,1,1,0,0,0,0,0,0,-1,4.0,6.0
2013, Waxool FC , Raadsan FC ,1,1,0,0,1,1,0,0,0,0,0,0,0.0,8.0
2013, Albeder , Gantaalaha Afgooye FC ,3,2,1,-1,0,0,0,0,0,0,0,1,2.0,5.0
2013, Midnimo FC , ,2,0,2,-2,0,0,0,0,0,0,0,1,7.0,2.0
2013, Badbaado FC , ,0,1,-1,1,0,0,0,0,0,0,0,-1,0.0,2.0
2013, Jamhuuriya FC , Gasko FC ,1,0,1,-1,0,0,0,0,0,0,0,1,5.0,1.0
2013, Ummah Hospital , Madbacadda FC ,2,0,2,-2,1,1,0,0,0,0,0,1,8.0,6.0
2013, Geeska Afrika FC , Raadsan FC ,1,2,-1,1,2,1,0,0,0,0,0,-1,0.0,8.0
2013, Sahafi FC , SomaliFruit FC ,3,1,2,-2,1,1,0,0,0,0,0,1,5.0,4.0
2013, Bariga Dhexe , Waxool FC ,1,1,0,0,2,1,0,0,0,0,0,0,0.0,6.0
2013, , Albeder ,2,2,0,0,1,1,0,0,0,0,0,0,1.0,6.0
2013, Jazeera SC , Gasko FC ,1,0,1,-1,1,0,0,0,0,0,0,1,3.0,1.0
2013, Gantaalaha Afgooye FC , Madbacadda FC ,1,0,1,-1,0,1,0,0,0,0,0,1,8.0,6.0
2013, Midnimo FC , Raadsan FC ,1,2,-1,1,1,2,0,0,0,0,0,-1,7.0,8.0
2013, Badbaado FC , SomaliFruit FC ,0,5,-5,5,0,1,0,0,0,0,0,-1,0.0,4.0
2013, Jamhuuriya FC , Waxool FC ,1,1,0,0,1,1,0,0,0,0,0,0,5.0,6.0
2013, Ummah Hospital , Sahafi FC ,3,1,2,-2,2,2,0,0,0,0,0,1,8.0,1.0
2013, Geeska Afrika FC , Bariga Dhexe ,0,2,-2,2,2,2,0,0,0,0,0,-1,0.0,4.0
2013, Albeder , Madbacadda FC ,0,1,-1,1,1,1,0,0,0,0,0,-1,2.0,6.0
2013, , Raadsan FC ,0,1,-1,1,1,3,0,0,0,0,0,-1,1.0,8.0
2013, , SomaliFruit FC ,0,0,0,0,1,2,0,0,0,0,0,0,1.0,4.0
2013, Jazeera SC , Waxool FC ,1,3,-2,2,2,1,0,0,0,0,0,-1,3.0,6.0
2013, Gantaalaha Afgooye FC , Sahafi FC ,0,3,-3,3,1,2,0,0,0,0,0,-1,8.0,1.0
2013, Midnimo FC , Bariga Dhexe ,1,0,1,-1,1,3,0,0,0,0,0,1,7.0,4.0
2013, Badbaado FC , Ummah Hospital ,1,1,0,0,0,3,0,0,0,0,0,0,0.0,4.0
2013, Jamhuuriya FC , Geeska Afrika FC ,1,1,0,0,1,2,0,0,0,0,0,0,5.0,4.0
2013, SomaliFruit FC , Albeder ,1,1,0,0,2,1,0,0,0,0,0,0,4.0,6.0
2013, Gasko FC , Waxool FC ,2,5,-3,3,0,2,0,0,0,0,0,-1,9.0,6.0
2013, Madbacadda FC , Sahafi FC ,1,1,0,0,2,3,0,0,0,0,0,0,0.0,1.0
2013, , Bariga Dhexe ,0,4,-4,4,1,3,0,0,0,0,0,-1,1.0,4.0
2013, , Ummah Hospital ,2,2,0,0,1,3,0,0,0,0,0,0,1.0,4.0
2013, Jazeera SC , Geeska Afrika FC ,1,1,0,0,2,2,0,0,0,0,0,0,3.0,4.0
2013, Gantaalaha Afgooye FC , Badbaado FC ,0,2,-2,2,1,0,0,0,0,0,0,-1,8.0,2.0
2013, Midnimo FC , Jamhuuriya FC ,1,1,0,0,2,1,0,0,0,0,0,0,7.0,3.0
2013, Albeder , Sahafi FC ,0,3,-3,3,1,2,0,0,0,0,0,-1,2.0,1.0
2013, Raadsan FC , Bariga Dhexe ,1,2,-1,1,4,3,0,0,0,0,0,-1,8.0,4.0
2013, SomaliFruit FC , Ummah Hospital ,1,1,0,0,1,3,0,0,0,0,0,0,4.0,4.0
2013, Gasko FC , Geeska Afrika FC ,4,2,2,-2,0,1,0,0,0,0,0,1,9.0,4.0
2013, Madbacadda FC , Badbaado FC ,1,2,-1,1,2,1,0,0,0,0,0,-1,0.0,2.0
2013, , Jamhuuriya FC ,1,2,-1,1,0,1,0,0,0,0,0,-1,1.0,3.0
2013, , Gantaalaha Afgooye FC ,1,1,0,0,0,1,0,0,0,0,0,0,1.0,5.0
2013, Waxool FC , Geeska Afrika FC ,1,1,0,0,2,0,0,0,0,0,0,0,0.0,4.0
2013, Raadsan FC , Jamhuuriya FC ,0,2,-2,2,3,2,0,0,0,0,0,-1,8.0,3.0
2013, Gasko FC , Midnimo FC ,0,0,0,0,1,2,0,0,0,0,0,0,9.0,9.0
2013, , Jazeera SC ,0,3,-3,3,0,2,0,0,0,0,0,-1,1.0,1.0
2013, Bariga Dhexe , Jamhuuriya FC ,0,1,-1,1,3,2,0,0,0,0,0,-1,0.0,3.0
2013, Waxool FC , Midnimo FC ,3,0,3,-3,2,2,0,0,0,0,0,1,0.0,9.0
2013, Raadsan FC , Jazeera SC ,3,2,1,-1,3,3,0,0,0,0,0,1,8.0,1.0
2013, Gasko FC , ,4,1,3,-3,1,0,0,0,0,0,0,1,9.0,2.0
2013, Jazeera SC , Midnimo FC ,2,1,1,-1,2,1,0,0,0,0,0,1,3.0,9.0
2013, Midnimo FC , Geeska Afrika FC ,2,1,1,-1,1,0,0,1,1,0,0,1,7.0,4.0
2013, Ummah Hospital , Albeder ,2,2,0,0,2,1,0,0,0,0,1,0,8.0,6.0
2013, Jazeera SC , Bariga Dhexe ,0,3,-3,3,2,3,0,1,1,0,0,-1,3.0,4.0
2013, Badbaado FC , Sahafi FC ,0,2,-2,2,2,3,0,2,2,0,0,-1,0.0,1.0
2013, , Waxool FC ,1,4,-3,3,0,3,0,1,1,0,0,-1,1.0,6.0
2013, Gantaalaha Afgooye FC , SomaliFruit FC ,1,0,1,-1,1,1,0,1,1,0,0,1,8.0,4.0
2013, Gasko FC , Raadsan FC ,2,1,1,-1,2,3,0,1,1,0,0,1,9.0,8.0
2013, , Madbacadda FC ,2,1,1,-1,0,1,0,0,0,0,1,1,1.0,6.0
2013, Jazeera SC , Jamhuuriya FC ,3,2,1,-1,2,3,0,0,0,0,0,1,3.0,3.0
2013, Albeder , Badbaado FC ,1,1,0,0,0,2,0,0,0,0,1,0,2.0,2.0
2013, , Geeska Afrika FC ,2,2,0,0,1,0,0,1,1,0,0,0,1.0,4.0
2013, Gantaalaha Afgooye FC , Ummah Hospital ,1,1,0,0,2,1,0,1,1,0,0,0,8.0,4.0
2013, Gasko FC , Bariga Dhexe ,0,0,0,0,3,3,0,1,1,0,0,0,9.0,4.0
2013, , Sahafi FC ,1,3,-2,2,1,3,0,0,0,0,1,-1,1.0,1.0
2013, Raadsan FC , Waxool FC ,2,1,1,-1,2,4,0,0,0,0,1,1,8.0,6.0
2013, Madbacadda FC , SomaliFruit FC ,0,3,-3,3,1,1,0,0,0,0,0,-1,0.0,4.0
2013, , Midnimo FC ,0,1,-1,1,1,1,0,1,1,0,0,-1,1.0,9.0
2013, Gantaalaha Afgooye FC , Albeder ,1,1,0,0,1,0,0,1,1,0,0,0,8.0,6.0
2013, Gasko FC , Jamhuuriya FC ,1,2,-1,1,3,3,0,1,1,0,0,-1,9.0,3.0
2013, , Badbaado FC ,0,1,-1,1,1,2,0,0,0,0,0,-1,1.0,2.0
2013, Raadsan FC , Geeska Afrika FC ,1,1,0,0,2,0,0,0,0,0,0,0,8.0,4.0
2013, Madbacadda FC , Ummah Hospital ,0,0,0,0,1,0,0,1,1,0,0,0,0.0,4.0
2013, Waxool FC , Bariga Dhexe ,3,1,2,-2,3,3,0,0,0,0,1,1,0.0,4.0
2013, SomaliFruit FC , Sahafi FC ,1,3,-2,2,1,4,0,1,1,0,0,-1,4.0,1.0
2013, Gasko FC , Jazeera SC ,0,1,-1,1,2,3,0,1,1,0,0,-1,9.0,1.0
2013, Albeder , ,1,1,0,0,0,1,0,0,0,0,1,0,2.0,2.0
2013, Raadsan FC , Midnimo FC ,0,0,0,0,2,2,0,0,0,0,0,0,8.0,9.0
2013, Madbacadda FC , Gantaalaha Afgooye FC ,3,3,0,0,0,1,0,1,1,0,0,0,0.0,5.0
2013, Waxool FC , Jamhuuriya FC ,0,0,0,0,3,4,0,0,0,0,1,0,0.0,3.0
2013, SomaliFruit FC , Badbaado FC ,1,0,1,-1,1,3,0,0,0,0,0,1,4.0,2.0
2013, Bariga Dhexe , Geeska Afrika FC ,3,0,3,-3,2,0,0,0,0,0,0,1,0.0,4.0
2013, Sahafi FC , Ummah Hospital ,4,2,2,-2,4,0,0,1,1,0,0,1,5.0,4.0
2013, Raadsan FC , ,6,1,5,-5,2,0,0,0,0,0,0,1,8.0,2.0
2013, Madbacadda FC , Albeder ,1,2,-1,1,0,0,0,0,0,0,0,-1,0.0,6.0
2013, Waxool FC , Jazeera SC ,1,1,0,0,3,3,0,0,0,0,0,0,0.0,1.0
2013, SomaliFruit FC , ,1,1,0,0,2,0,0,0,0,0,1,0,4.0,2.0
2013, Bariga Dhexe , Midnimo FC ,6,0,6,-6,2,2,0,1,1,0,0,1,0.0,9.0
2013, Sahafi FC , Gantaalaha Afgooye FC ,1,2,-1,1,5,1,0,0,0,0,0,-1,5.0,5.0
2013, Geeska Afrika FC , Jamhuuriya FC ,1,3,-2,2,0,3,0,0,0,0,1,-1,0.0,3.0
2013, Ummah Hospital , Badbaado FC ,2,1,1,-1,0,2,0,0,0,0,1,1,8.0,2.0
2013, Waxool FC , Gasko FC ,3,1,2,-2,2,2,0,0,0,0,0,1,0.0,1.0
2013, Albeder , SomaliFruit FC ,2,3,-1,1,1,2,0,0,0,0,1,-1,2.0,4.0
2013, Bariga Dhexe , ,10,1,9,-9,3,0,0,0,0,0,0,1,0.0,2.0
2013, Geeska Afrika FC , Jazeera SC ,2,3,-1,1,0,3,0,0,0,0,1,-1,0.0,1.0
2013, Ummah Hospital , ,2,2,0,0,1,0,0,0,0,0,1,0,8.0,2.0
2013, Jamhuuriya FC , Midnimo FC ,2,0,2,-2,3,2,0,0,0,0,1,1,5.0,9.0
2013, Badbaado FC , Gantaalaha Afgooye FC ,1,0,1,-1,1,2,0,0,0,0,0,1,0.0,5.0
2013, Sahafi FC , Albeder ,3,1,2,-2,4,1,0,0,0,0,0,1,5.0,6.0
2013, Bariga Dhexe , Raadsan FC ,2,1,1,-1,3,2,0,0,0,0,0,1,0.0,8.0
2013, Ummah Hospital , SomaliFruit FC ,2,3,-1,1,1,3,0,0,0,0,1,-1,8.0,4.0
2013, Geeska Afrika FC , Gasko FC ,3,0,3,-3,0,1,0,1,1,0,0,1,0.0,1.0
2013, Badbaado FC , Madbacadda FC ,0,2,-2,2,2,0,0,0,0,0,0,-1,0.0,6.0
2013, Jamhuuriya FC , ,8,0,8,-8,3,0,0,0,0,0,0,1,5.0,2.0
2013, Gantaalaha Afgooye FC , ,1,0,1,-1,1,0,0,0,0,0,1,1,8.0,2.0
2013, Midnimo FC , Jazeera SC ,2,2,0,0,2,3,0,1,1,0,0,0,7.0,1.0
2013, Geeska Afrika FC , Waxool FC ,1,5,-4,4,1,2,0,0,0,0,1,-1,0.0,6.0
2013, Jamhuuriya FC , Raadsan FC ,0,1,-1,1,4,2,0,0,0,0,0,-1,5.0,8.0
2013, Midnimo FC , Gasko FC ,2,2,0,0,1,0,0,0,0,0,1,0,7.0,1.0
2013, Jazeera SC , ,3,0,3,-3,3,0,0,0,0,0,0,1,3.0,2.0
2013, Jamhuuriya FC , Bariga Dhexe ,3,2,1,-1,3,4,0,0,0,0,0,1,5.0,4.0
2013, Midnimo FC , Waxool FC ,1,3,-2,2,0,3,0,1,1,0,0,-1,7.0,6.0
2013, Jazeera SC , Raadsan FC ,2,3,-1,1,3,2,0,1,1,0,0,-1,3.0,8.0
2013, , Gasko FC ,0,1,-1,1,0,0,0,1,1,0,0,-1,1.0,1.0
2013, Heegan S.C , Gaadiidka FC ,3,2,1,-1,4,0,0,0,0,0,0,1,7.0,9.0
2013, Horseed S.C , Dekedda SC ,0,3,-3,3,1,1,1,0,0,1,1,-1,11.0,10.0
2013, Jeenyo  FC , Batroolka FC ,2,0,2,-2,4,0,0,0,0,0,0,1,9.0,3.0
2013, Elman FC , Mogadishu City Club ,1,3,-2,2,4,0,0,0,0,0,1,-1,3.0,6.0
2013, Dekedda SC , Heegan S.C ,1,2,-1,1,2,4,0,0,0,0,1,-1,5.0,11.0
2013, Gaadiidka FC , Batroolka FC ,1,0,1,-1,0,0,0,0,0,0,0,1,1.0,3.0
2013, Horseed S.C , Mogadishu City Club ,2,2,0,0,1,1,0,0,0,0,1,0,11.0,6.0
2014, Jeenyo  FC , Elman FC ,0,2,-2,2,4,3,0,0,0,0,1,-1,9.0,5.0
2014, Heegan S.C , Batroolka FC ,4,2,2,-2,5,0,0,0,0,0,0,1,7.0,3.0
2014, Dekedda SC , Mogadishu City Club ,2,4,-2,2,1,1,0,0,0,0,1,-1,5.0,6.0
2014, Gaadiidka FC , Elman FC ,0,3,-3,3,1,3,0,0,0,0,0,-1,1.0,5.0
2014, Horseed S.C , Jeenyo  FC ,2,4,-2,2,1,3,0,0,0,0,1,-1,11.0,2.0
2014, Mogadishu City Club , Heegan S.C ,1,0,1,-1,2,5,0,1,1,0,1,1,11.0,11.0
2014, Batroolka FC , Elman FC ,1,2,-1,1,0,3,0,0,0,0,0,-1,1.0,5.0
2014, Dekedda SC , Jeenyo  FC ,0,3,-3,3,1,3,0,0,0,0,2,-1,5.0,2.0
2014, Gaadiidka FC , Horseed S.C ,2,2,0,0,1,1,0,0,0,0,0,0,1.0,13.0
2014, Heegan S.C , Elman FC ,1,2,-1,1,4,4,0,0,0,0,0,-1,7.0,5.0
2014, Mogadishu City Club , Jeenyo  FC ,1,1,0,0,3,4,0,1,1,0,1,0,11.0,2.0
2014, Batroolka FC , Horseed S.C ,1,3,-2,2,0,0,0,0,0,0,0,-1,1.0,13.0
2014, Dekedda SC , Gaadiidka FC ,1,1,0,0,1,1,0,0,0,0,0,0,5.0,9.0
2014, Jeenyo  FC , Heegan S.C ,0,1,-1,1,3,3,0,0,0,0,1,-1,9.0,11.0
2014, Elman FC , Horseed S.C ,3,3,0,0,4,1,1,0,0,1,0,0,3.0,13.0
2014, Mogadishu City Club , Gaadiidka FC ,3,2,1,-1,3,1,0,0,0,0,0,1,11.0,9.0
2014, Batroolka FC , Dekedda SC ,0,1,-1,1,0,1,0,0,0,0,0,-1,1.0,10.0
2014, Jeenyo  FC , Gaadiidka FC ,2,0,2,-2,2,1,0,0,0,0,0,1,9.0,9.0
2014, Heegan S.C , Horseed S.C ,3,0,3,-3,3,1,1,0,0,1,1,1,7.0,13.0
2014, Elman FC , Dekedda SC ,2,0,2,-2,4,1,1,0,0,1,0,1,3.0,10.0
2014, Mogadishu City Club , Batroolka FC ,4,1,3,-3,3,0,0,0,0,0,0,1,11.0,3.0
2014, Gaadiidka FC , Heegan S.C ,1,2,-1,1,0,3,0,1,1,0,0,-1,1.0,11.0
2014, Dekedda SC , Horseed S.C ,0,1,-1,1,1,1,0,1,1,0,1,-1,5.0,13.0
2014, Jeenyo  FC , Batroolka FC ,1,1,0,0,3,0,1,0,0,1,0,0,9.0,3.0
2014, Mogadishu City Club , Elman FC ,0,0,0,0,4,4,0,0,0,0,1,0,11.0,5.0
2014, Heegan S.C , Dekedda SC ,1,2,-1,1,3,1,0,0,0,0,1,-1,7.0,10.0
2014, Batroolka FC , Gaadiidka FC ,0,2,-2,2,0,0,0,1,1,0,0,-1,1.0,9.0
2014, Mogadishu City Club , Horseed S.C ,2,0,2,-2,3,2,0,0,0,0,2,1,11.0,13.0
2014, Elman FC , Jeenyo  FC ,2,5,-3,3,3,2,0,0,0,0,1,-1,3.0,2.0
2014, Batroolka FC , Heegan S.C ,1,3,-2,2,0,3,0,1,1,0,0,-1,1.0,11.0
2014, Mogadishu City Club , Dekedda SC ,2,1,1,-1,3,2,0,0,0,0,1,1,11.0,10.0
